num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,using_filesort,using_temporary,index_count,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,access_type,is_slow,execution_time
2,1,1,1,494,34003,0,0,0.0,0.9923,2,0,6,UNKNOWN,1,280.381
2,1,1,1,848,6124,0,0,0.0,0.9931,2,0,6,UNKNOWN,1,185.557
2,1,1,1,656,1200048,0,0,0.0,0.9931,2,0,6,UNKNOWN,1,3.04414
2,2,1,1,846,61326,0,0,0.0,0.9931,2,0,6,UNKNOWN,1,90.3144
2,1,1,1,679,209649,0,0,0.0,0.9931,2,0,6,UNKNOWN,1,18.1695
0,0,1,1,479,600040,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,43.7151
4,1,1,1,634,35470,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,6.68612
6,1,1,1,921,35315,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,5.98562
4,1,1,1,661,2243435,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,5.56216
1,0,1,1,1060,1200048,0,0,0.0,0.9927,2,0,6,UNKNOWN,1,2.07099
0,0,1,1,560,600040,0,0,0.0,0.9923,2,0,6,UNKNOWN,1,40.1252
6,1,1,1,1015,35654,0,0,0.0,0.9923,2,0,6,UNKNOWN,1,6.49678
3,1,1,1,806,48947,0,0,0.0,0.9925,2,0,6,UNKNOWN,1,147.551
3,0,1,1,742,6062295,0,0,0.0,0.993,2,0,6,UNKNOWN,1,11.0877
6,1,1,1,1165,9973,0,0,0.0,0.993,2,0,6,UNKNOWN,1,3.90396
2,2,1,1,1144,5245,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.92147
4,1,1,1,635,34012,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.50449
2,0,1,1,919,47983,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.52035
6,1,1,1,1080,33342,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.22049
5,2,1,1,1559,1434266,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.96458
2,1,1,1,1124,32672,0,0,0.0,0.993,2,0,6,UNKNOWN,1,4.99498
4,2,1,1,967,2083211,0,0,0.0,0.993,2,0,6,UNKNOWN,1,6.89238
7,0,1,1,1134,3261433,0,0,0.0,0.9931,2,0,6,UNKNOWN,1,13.4486
4,1,1,1,809,35988,0,0,0.0,0.9929,2,1,6,UNKNOWN,1,5.79021
1,1,1,1,626,630085,0,0,0.0,0.9926,2,1,6,UNKNOWN,1,49.5587
8,2,1,1,1335,36973,0,0,0.0,0.9926,2,1,6,UNKNOWN,1,9.74277
3,1,1,1,865,34685,0,0,0.0,0.9926,2,1,6,UNKNOWN,1,5.05376
4,0,1,1,881,32109,0,0,0.0,0.9926,2,1,6,UNKNOWN,1,369.443
6,0,1,1,1232,231104,0,0,0.0,0.9926,2,1,6,UNKNOWN,1,1.09402
142,166,1,1,52136,0,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,2.55381
6,1,1,1,1250,34690,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,5.36223
6,1,1,1,1102,1263723,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,44.5482
2,1,1,1,1053,34022,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,5.52306
6,2,1,1,1181,33339,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,13.7858
6,0,1,1,1292,32730,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,287.407
2,1,1,1,1063,32670,0,0,0.0,0.9927,2,1,6,UNKNOWN,1,5.22853
2,1,1,1,902,71680,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,55.0125
4,1,1,1,939,34008,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,7.85202
6,1,1,1,1733,1263650,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,2923.48
4,1,1,1,1294,34010,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,5.33915
5,2,1,1,1448,38035,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,6.6907
3,1,1,1,1305,32672,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,4.83459
8,1,1,1,2177,1263811,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,45.083
2,1,1,1,1105,32672,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,5.18164
3,0,1,1,1588,35198,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,6.69541
4,1,1,1,1737,33343,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,5.25409
9,1,1,1,2324,1305635,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,48.8479
9,1,1,1,2474,126108,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,195.171
4,1,1,1,1464,32730,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,297.206
9,1,1,1,2897,126109,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,200.385
6,1,1,1,1930,32670,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,5.33276
5,12,1,1,4701,2594570,0,0,0.0,0.9928,2,13,6,UNKNOWN,1,78.2502
4,1,1,1,583,1176209,0,0,0.0,0.9927,2,14,6,UNKNOWN,1,4.52213
3,1,1,1,541,271196,0,0,0.0,0.9927,2,14,6,UNKNOWN,1,9.42794
0,3,1,0,341,760032,0,0,0.0,0.9927,2,14,6,UNKNOWN,1,1.24033
1,1,1,1,407,630085,0,0,0.0,0.992,2,14,6,UNKNOWN,1,71.925
3,1,1,1,512,49287,0,0,0.0,0.992,2,14,6,UNKNOWN,1,12.0292
2,1,1,1,591,2763014,0,0,0.0,0.992,2,14,6,UNKNOWN,1,9.06913
3,1,1,1,712,180477,0,0,0.0,0.992,2,14,6,UNKNOWN,1,7.88049
4,0,1,1,757,293511,0,0,0.0,0.992,2,14,6,UNKNOWN,1,25.3683
4,1,1,1,738,1301869,0,0,0.0,0.992,2,14,6,UNKNOWN,1,6.23143
2,1,1,1,567,121863,0,0,0.0,0.992,2,14,6,UNKNOWN,1,2.10466
3,1,1,1,756,97310,0,0,0.0,0.992,2,14,6,UNKNOWN,1,4.36521
1,1,1,1,461,70186,0,0,0.0,0.992,2,14,6,UNKNOWN,1,1.7075
3,1,1,1,669,43665,0,0,0.0,0.992,2,14,6,UNKNOWN,1,109.36
5,1,1,1,765,18957,0,0,0.0,0.992,2,14,6,UNKNOWN,1,202.186
2,1,1,1,616,32059,0,0,0.0,0.992,2,14,6,UNKNOWN,1,7.11352
5,0,1,1,921,9000,0,0,0.0,0.992,2,14,6,UNKNOWN,1,6.54028
5,0,1,1,1085,45461,0,0,0.0,0.992,2,14,6,UNKNOWN,1,4.96938
7,0,1,1,1031,38531,0,0,0.0,0.992,2,14,6,UNKNOWN,1,4.51271
0,1,0,0,50,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001614
0,1,0,0,58,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000649
0,1,0,0,43,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000599
0,1,0,0,43,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000485
0,1,0,0,52,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000682
0,1,0,0,43,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001535
0,1,0,0,53,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000482
0,1,0,0,51,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000579
0,1,0,0,44,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001078
0,1,0,0,45,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.002004
0,1,0,0,62,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.002194
0,1,0,0,51,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000803
0,1,0,0,40,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000803
0,1,0,0,49,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000555
0,1,0,0,43,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.002511
0,1,0,0,55,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000625
0,1,0,0,55,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001237
0,1,0,0,58,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000533
0,1,0,0,52,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001595
0,1,0,0,41,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000565
0,1,0,0,45,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000614
0,1,0,0,48,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001207
0,1,0,0,45,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000674
0,1,0,0,46,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000489
0,1,0,0,41,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001329
0,1,0,0,54,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000562
0,1,0,0,42,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001169
0,1,0,0,47,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001195
0,1,0,0,45,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001176
0,1,0,0,52,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000619
0,1,0,0,45,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000551
0,1,0,0,41,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000482
0,1,0,0,45,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001225
0,1,0,0,44,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000614
0,1,0,0,57,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000939
0,1,0,0,40,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000621
0,1,0,0,39,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000517
0,1,0,0,43,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000818
0,1,0,0,47,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001361
0,1,0,0,56,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000597
0,1,0,0,49,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000483
0,1,0,0,50,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000728
0,1,0,0,46,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000822
0,1,0,0,47,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000571
0,1,0,0,52,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001188
0,1,0,0,55,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001962
0,1,0,0,57,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000505
0,1,0,0,47,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001834
0,1,0,0,51,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001494
0,1,0,0,45,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001069
0,1,0,0,49,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001069
0,1,0,0,47,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000912
